Date_Time,Power(kW)
2019-01-06 12:00:00,65.8521272749679
2019-01-06 13:00:00,61.46159970605263
2019-01-06 14:00:00,62.41163307348906
2019-01-06 15:00:00,58.170554330063204
2019-01-06 16:00:00,66.27627460137491
2019-01-06 17:00:00,64.69262361476763
2019-01-06 18:00:00,63.175252163665924
2019-01-06 19:00:00,62.73026043638991
2019-01-06 20:00:00,62.73026043638991
2019-01-06 21:00:00,64.14881400885946
2019-01-06 22:00:00,70.50806580218939
2019-01-06 23:00:00,64.7290681554057
2019-01-07 00:00:00,64.77480592091914
2019-01-07 01:00:00,101.1159248034289
2019-01-07 02:00:00,94.51143900273287
2019-01-07 03:00:00,94.72072004864482
2019-01-07 04:00:00,99.5218267672502
2019-01-07 05:00:00,95.48807183678831
2019-01-07 06:00:00,97.05806511909472
